title,price,location,details,tags,image_url,url,price_shekels,rooms,area_sqm,floor,city,neighborhood,price_per_sqm
החלוץ,₪ 3 490 000,"דירה, בית הכרם, רמת בית הכרם, ירושלים",3 חדרים • קומה 1 • 77 מ״ר,"חניה, בניין משופץ, בהזדמנות",https://img.yad2.co.il/Pic/202506/09/2_5/o/y2_1pa_010483_20250609115327.jpeg,,3490000.0,3.0,77.0,1.0,ירושלים,,45324.67532467532
"ביל""ו 48",₪ 3 650 000,"דירה, לב תל אביב, לב העיר צפון, תל אביב יפו",2.5 חדרים • קומה קרקע • 63 מ״ר,"בניין משופץ, חבל לפספס, בהזדמנות",https://img.yad2.co.il/Pic/202507/10/2_5/o/y2_1pa_010829_20250710150530.jpeg,,3650000.0,2.5,63.0,4.0,תל אביב יפו,,57936.50793650794
השבטים,₪ 1 100 000,"בית פרטי/ קוטג', גבעת ציון וגבעת הפרחים, אשקלון",4 חדרים • קומה קרקע • 150 מ״ר,"2 מרפסות, חניה, בהזדמנות",https://img.yad2.co.il/Pic/202508/18/2_5/o/y2_2_rMcG0S2wNG_20250818.jpg,,1100000.0,4.0,2.0,4.0,Unknown,"קוטג', גבעת ציון וגבעת הפרחים, אשקלון",550000.0
יד ושם,₪ 429 000,"דירה, באר שבע",1 חדרים • קומה 13 • 48 מ״ר,"ייחודי, חבל לפספס, בהזדמנות",https://img.yad2.co.il/Pic/202509/17/2_5/o/y2_1pa_010925_20250917121937.jpeg,,429000.0,1.0,48.0,13.0,באר שבע,,8937.5
קטמון הישנה,₪ 3 350 000,"דירה, קטמון הישנה, ירושלים",3 חדרים • קומה 3 • 77 מ״ר,"חניה, חבל לפספס, בהזדמנות",https://img.yad2.co.il/Pic/202506/11/2_5/o/o2_5_1_997744_20250611163838.jpg,,3350000.0,3.0,77.0,3.0,ירושלים,,43506.493506493505
בית פרטי/ קוטג',₪ 8 990 000,"בית פרטי/ קוטג', בית יהושע",7 חדרים • קומה קרקע • 506 מ״ר,"2 מרפסות, ממ""ד, חניה",https://img.yad2.co.il/Pic/202504/15/2_5/o/y2_1_TB5XKZ038D_20250415.jpeg,,8990000.0,7.0,2.0,4.0,Unknown,"קוטג', בית יהושע",4495000.0
מיכל לייב כץ,₪ 2 275 000,"דירה, כפר גנים ב, פתח תקווה",4 חדרים • קומה 1 • 100 מ״ר,"חניה, יחידת הורים, בניין משופץ",https://img.yad2.co.il/Pic/202504/21/2_5/o/y2_1pa_010727_20250421175000.jpeg,,2275000.0,4.0,100.0,1.0,פתח תקווה,,22750.0
התפוח,₪ 4 900 000,"בית פרטי/ קוטג', קדימה צורן",7 חדרים • קומה קרקע • 333 מ״ר,"2 מרפסות, ממ""ד, חניה",https://img.yad2.co.il/Pic/202404/13/2_5/o/y2_1pa_010093_20240413092201.jpeg,,4900000.0,7.0,2.0,4.0,Unknown,"קוטג', קדימה צורן",2450000.0
"הרא""ה",₪ 2 590 000,"דירה, נגבה, רמת גן",4 חדרים • קומה 2 • 87 מ״ר,"ממ""ד, חניה, גמיש במחיר",https://img.yad2.co.il/Pic/202508/13/2_5/o/o2_5_1_01155_20250813115443.jpg,,2590000.0,4.0,87.0,2.0,רמת גן,,29770.114942528737
שיבת ציון 3,₪ 6 700 000,"גג/ פנטהאוז, נווה שאנן, תל אביב יפו",3 חדרים • קומה 6 • 140 מ״ר,"ממ""ד, חניה, נכס חדש",https://img.yad2.co.il/Pic/202509/16/2_5/o/y2_1pa_010389_20250916174340.jpeg,,6700000.0,3.0,140.0,6.0,Unknown,"פנטהאוז, נווה שאנן, תל אביב יפו",47857.142857142855
